Approach,Size,Difficulty,TimeStep,NumChanges,AdaptTime,SuccessRate,AvgPathLength
A* Oracle,50,Hard,0,0,0,0.996755,9.40885
A* Oracle,50,Hard,1,1,0.254195,0.996755,9.41016
A* Oracle,50,Hard,2,2,0.256144,0.996755,9.41146
A* Oracle,50,Hard,3,1,0.255224,0.997404,9.41444
A* Oracle,50,Hard,4,1,0.253574,0.997404,9.41444
A* Oracle,50,Hard,5,1,0.249402,0.997404,9.42811
A* Oracle,50,Hard,6,1,0.248191,0.997404,9.42941
A* Oracle,50,Hard,7,1,0.248577,0.997404,9.42811
A* Oracle,50,Hard,8,4,0.247234,0.997404,9.40989
A* Oracle,50,Hard,9,1,0.251381,0.997404,9.41444
A* Oracle,50,Hard,10,1,0.251856,0.997404,9.41574
A* Oracle,50,Hard,11,1,0.248342,0.997404,9.42225
A* Oracle,50,Hard,12,1,0.248772,0.997404,9.4229
A* Oracle,50,Hard,13,1,0.2496,0.997404,9.43526
A* Oracle,50,Hard,14,1,0.249556,0.997404,9.43526
A* Oracle,50,Hard,15,1,0.251531,0.997404,9.44697
A* Oracle,50,Hard,16,2,0.250457,0.997404,9.44567
A* Oracle,50,Hard,17,1,0.249311,0.997404,9.44242
A* Oracle,50,Hard,18,1,0.250398,0.997404,9.44242
A* Oracle,50,Hard,19,1,0.246934,0.997404,9.44242
A* Oracle,50,Hard,20,1,0.246042,0.997404,9.44242
A* Oracle,50,Hard,21,1,0.245543,0.997404,9.44047
A* Oracle,50,Hard,22,1,0.249962,0.997404,9.44047
A* Oracle,50,Hard,23,1,0.250944,0.997404,9.46129
A* Oracle,50,Hard,24,1,0.249834,0.997404,9.46194
A* Oracle,50,Hard,25,1,0.254417,0.997404,9.46194
A* Oracle,50,Hard,26,1,0.254364,0.997404,9.46259
A* Oracle,50,Hard,27,1,0.253392,0.996755,9.46419
A* Oracle,50,Hard,28,1,0.254013,0.996755,9.46419
A* Oracle,50,Hard,29,1,0.249691,0.996755,9.46419
A* Oracle,50,Hard,30,1,0.252403,0.996755,9.46354
A* Oracle,50,Hard,31,1,0.254366,0.996755,9.47005
A* Oracle,50,Hard,32,1,0.253851,0.996755,9.4694
A* Oracle,50,Hard,33,1,0.254806,0.996755,9.4694
A* Oracle,50,Hard,34,1,0.254383,0.996755,9.46745
A* Oracle,50,Hard,35,1,0.255092,0.996755,9.4681
A* Oracle,50,Hard,36,1,0.256749,0.996755,9.55143
A* Oracle,50,Hard,37,2,0.252419,0.996755,9.55078
A* Oracle,50,Hard,38,1,0.252267,0.996755,9.55208
A* Oracle,50,Hard,39,2,0.25308,0.996755,9.55404
A* Oracle,50,Hard,40,1,0.253751,0.996755,9.55469
A* Oracle,50,Hard,41,1,0.254023,0.996755,9.55339
A* Oracle,50,Hard,42,1,0.257727,0.996755,9.55208
A* Oracle,50,Hard,43,1,0.25319,0.996755,9.55208
A* Oracle,50,Hard,44,1,0.254711,0.996755,9.55078
A* Oracle,50,Hard,45,1,0.254877,0.996755,9.55143
A* Oracle,50,Hard,46,1,0.255568,0.996755,9.55078
A* Oracle,50,Hard,47,1,0.257276,0.996755,9.54883
A* Oracle,50,Hard,48,1,0.252926,0.996755,9.54622
A* Oracle,50,Hard,49,1,0.252738,0.996755,9.53906
A* Oracle,50,Hard,50,1,0.253551,0.996755,9.53841
A* Oracle,50,Hard,51,1,0.25451,0.997404,9.53676
A* Oracle,50,Hard,52,1,0.255665,0.997404,9.53546
A* Oracle,50,Hard,53,1,0.255415,0.997404,9.53806
A* Oracle,50,Hard,54,1,0.254275,0.997404,9.53871
A* Oracle,50,Hard,55,1,0.253464,0.997404,9.53806
A* Oracle,50,Hard,56,1,0.253962,0.997404,9.53871
A* Oracle,50,Hard,57,1,0.258289,0.997404,9.53936
A* Oracle,50,Hard,58,1,0.259507,0.997404,9.45283
A* Oracle,50,Hard,59,1,0.258709,0.997404,9.45153
A* Oracle,50,Hard,60,1,0.257341,0.997404,9.45153
A* Oracle,50,Hard,61,1,0.257493,0.997404,9.45088
A* Oracle,50,Hard,62,1,0.256937,0.997404,9.41119
A* Oracle,50,Hard,63,1,0.256468,0.997404,9.40599
A* Oracle,50,Hard,64,1,0.256427,0.997404,9.40468
A* Oracle,50,Hard,65,1,0.256509,0.997404,9.40013
A* Oracle,50,Hard,66,1,0.256734,0.997404,9.39883
A* Oracle,50,Hard,67,1,0.257849,0.997404,9.39883
A* Oracle,50,Hard,68,1,0.255925,0.997404,9.39883
A* Oracle,50,Hard,69,1,0.250018,0.997404,9.39948
A* Oracle,50,Hard,70,1,0.25507,0.997404,9.46975
A* Oracle,50,Hard,71,1,0.254889,0.997404,9.4691
A* Oracle,50,Hard,72,1,0.255091,0.997404,9.4691
A* Oracle,50,Hard,73,1,0.254533,0.997404,9.46975
A* Oracle,50,Hard,74,1,0.254759,0.997404,9.4704
A* Oracle,50,Hard,75,4,0.254654,0.997404,9.44372
