Approach,Size,Difficulty,TimeStep,NumChanges,AdaptTime,SuccessRate,AvgPathLength
Local,20,Easy,10,1,0.114377,1,5.61442
Local,20,Easy,11,1,0.120883,1,5.61442
Local,20,Easy,12,6,0.167866,1,5.58934
Local,20,Easy,13,1,0.22085,1,5.57994
Local,20,Easy,14,2,0.135183,1,5.58307
Local,20,Easy,15,1,0.100169,1,5.58307
Local,20,Easy,16,1,0.140309,1,5.58621
Local,20,Easy,17,1,0.133588,1,5.57994
Local,20,Easy,18,1,0.0991265,1,5.57367
Local,20,Easy,19,1,0.101645,1,5.5674
Local,20,Easy,20,1,0.13616,1,5.56426
Local,20,Easy,21,1,0.109312,1,5.5674
Local,20,Easy,22,1,0.0934384,1,5.57053
Local,20,Easy,23,1,0.109612,1,5.5768
Local,20,Easy,24,3,0.117893,1,5.5674
Local,20,Easy,25,1,0.115524,1,5.56426
Local,20,Easy,26,1,0.0859103,1,5.56426
Local,20,Easy,27,1,0.0886614,1,5.56113
Local,20,Easy,28,1,0.109041,1,5.56113
Local,20,Easy,29,1,0.081774,1,5.56426
Local,20,Easy,30,1,0.0948659,1,5.56113
Local,20,Easy,31,1,0.0823001,1,5.55486
Local,20,Easy,32,1,0.148976,1,5.55172
Local,20,Easy,33,1,0.102805,1,5.54545
Local,20,Easy,34,1,0.129901,1,5.54232
Local,20,Easy,35,1,0.0736039,1,5.54232
Local,20,Easy,36,1,0.0831988,1,5.54232
Local,20,Easy,37,1,0.119854,1,5.54232
Local,20,Easy,38,1,0.0975214,1,5.53605
Local,20,Easy,39,2,0.11026,1,5.52978
Local,20,Easy,40,1,0.14785,1,5.51724
Local,20,Easy,41,1,0.111719,1,5.52351
Local,20,Easy,42,1,0.105366,1,5.51411
Local,20,Easy,43,1,0.118648,1,5.51411
Local,20,Easy,44,1,0.105164,1,5.52038
Local,20,Easy,45,1,0.126445,1,5.52038
Local,20,Easy,46,1,0.0905851,1,5.52038
Local,20,Easy,47,4,0.136027,1,5.51411
Local,20,Easy,48,1,0.109578,1,5.51724
Local,20,Easy,49,1,0.0790852,1,5.52038
Local,20,Easy,50,1,0.0945891,1,5.52038
Hierarchy,20,Easy,0,0,0,1,5.69279
Hierarchy,20,Easy,1,1,0.182275,1,5.54232
Hierarchy,20,Easy,2,2,0.201978,1,5.59561
Hierarchy,20,Easy,3,1,0.185027,1,5.62382
Hierarchy,20,Easy,4,1,0.184403,1,5.59875
Hierarchy,20,Easy,5,1,0.147869,1,5.59875
Hierarchy,20,Easy,6,1,0.134082,1,5.59875
Hierarchy,20,Easy,7,1,0.0941175,1,5.59875
Hierarchy,20,Easy,8,1,0.141501,1,5.62696
Hierarchy,20,Easy,9,1,0.101216,1,5.61755
Hierarchy,20,Easy,10,1,0.0832068,1,5.61442
Hierarchy,20,Easy,11,1,0.130213,1,5.60188
Hierarchy,20,Easy,12,6,0.119966,1,5.57994
Hierarchy,20,Easy,13,1,0.116042,1,5.57994
Hierarchy,20,Easy,14,2,0.127434,1,5.58307
Hierarchy,20,Easy,15,1,0.108313,1,5.58307
Hierarchy,20,Easy,16,1,0.080391,1,5.58621
Hierarchy,20,Easy,17,1,0.14471,1,5.57994
Hierarchy,20,Easy,18,1,0.0744512,1,5.57994
Hierarchy,20,Easy,19,1,0.141713,1,5.5674
Hierarchy,20,Easy,20,1,0.123164,1,5.56426
Hierarchy,20,Easy,21,1,0.127457,1,5.5674
Hierarchy,20,Easy,22,1,0.111341,1,5.57053
Hierarchy,20,Easy,23,1,0.113419,1,5.5768
Hierarchy,20,Easy,24,3,0.145192,1,5.5674
Hierarchy,20,Easy,25,1,0.0978755,1,5.56426
Hierarchy,20,Easy,26,1,0.0710124,1,5.56426
Hierarchy,20,Easy,27,1,0.0776436,1,5.56113
Hierarchy,20,Easy,28,1,0.082407,1,5.56113
Hierarchy,20,Easy,29,1,0.106442,1,5.56426
Hierarchy,20,Easy,30,1,0.13015,1,5.56113
Hierarchy,20,Easy,31,1,0.102777,1,5.55486
Hierarchy,20,Easy,32,1,0.0980554,1,5.55172
Hierarchy,20,Easy,33,1,0.104897,1,5.54545
Hierarchy,20,Easy,34,1,0.0817799,1,5.54232
Hierarchy,20,Easy,35,1,0.136293,1,5.54232
Hierarchy,20,Easy,36,1,0.108656,1,5.54232
Hierarchy,20,Easy,37,1,0.101109,1,5.54232
Hierarchy,20,Easy,38,1,0.0757429,1,5.53605
Hierarchy,20,Easy,39,2,0.0961395,1,5.53292
Hierarchy,20,Easy,40,1,0.137071,1,5.52038
Hierarchy,20,Easy,41,1,0.107768,1,5.52665
Hierarchy,20,Easy,42,1,0.0983325,1,5.52038
Hierarchy,20,Easy,43,1,0.125935,1,5.51411
Hierarchy,20,Easy,44,1,0.129806,1,5.52038
Hierarchy,20,Easy,45,1,0.10687,1,5.52038
Hierarchy,20,Easy,46,1,0.101593,1,5.52038
Hierarchy,20,Easy,47,4,0.108378,1,5.52038
Hierarchy,20,Easy,48,1,0.133168,1,5.51724
Hierarchy,20,Easy,49,1,0.0992292,1,5.52038
Hierarchy,20,Easy,50,1,0.108506,1,5.52038
A* Static,20,Medium,0,0,0,1,5.63669
A* Static,20,Medium,1,1,0,0.996403,5.62094
A* Static,20,Medium,2,2,0,0.978417,5.63971
A* Static,20,Medium,3,1,0,0.97482,5.63469
A* Static,20,Medium,4,1,0,0.971223,5.63333
A* Static,20,Medium,5,1,0,0.967626,5.62825
A* Static,20,Medium,6,1,0,0.964029,5.63433
A* Static,20,Medium,7,1,0,0.94964,5.58333
A* Static,20,Medium,8,1,0,0.942446,5.5458
