Approach,Size,Difficulty,Changes,InitialTime,AdaptTime,SuccessRate,AvgPathLength
Hierarchy,10,Hard,10,0.159315,0.168724,0.981132,6.23077
A* Oracle,20,Easy,0,0.0469947,0,1,5.54232
A* Oracle,20,Easy,1,0.0469947,0.0458746,1,5.54545
A* Oracle,20,Easy,2,0.0469947,0.0471504,1,5.51887
A* Oracle,20,Easy,3,0.0469947,0.0470474,1,5.58934
A* Oracle,20,Easy,4,0.0469947,0.0483777,1,5.53292
A* Oracle,20,Easy,5,0.0469947,0.0461874,1,5.56604
A* Oracle,20,Easy,10,0.0469947,0.0459641,1,5.50938
A* Static,20,Easy,0,0.047881,0,1,5.54232
A* Static,20,Easy,1,0.047881,6.6163e-05,0.996865,5.53145
A* Static,20,Easy,2,0.047881,6.5943e-05,0.965409,5.41368
A* Static,20,Easy,3,0.047881,6.6559e-05,0.912226,5.27835
A* Static,20,Easy,4,0.047881,6.6596e-05,0.899687,5.49826
A* Static,20,Easy,5,0.047881,6.6171e-05,0.946541,5.43854
A* Static,20,Easy,10,0.047881,6.7217e-05,0.925,5.44932
Local,20,Easy,0,0.355897,0,1,5.69906
Local,20,Easy,1,0.355897,0.216551,1,5.57053
Local,20,Easy,2,0.355897,0.169731,1,5.52516
Local,20,Easy,3,0.355897,0.168156,1,5.59248
Local,20,Easy,4,0.355897,0.198975,1,5.53918
Local,20,Easy,5,0.355897,0.183509,1,5.56918
Local,20,Easy,10,0.355897,0.222826,0.996875,5.51411
Hierarchy,20,Easy,0,0.350964,0,1,5.6395
Hierarchy,20,Easy,1,0.350964,0.279047,1,5.57367
Hierarchy,20,Easy,2,0.350964,0.144444,1,5.52201
Hierarchy,20,Easy,3,0.350964,0.138206,1,5.60188
Hierarchy,20,Easy,4,0.350964,0.19148,1,5.53292
Hierarchy,20,Easy,5,0.350964,0.155787,1,5.56604
Hierarchy,20,Easy,10,0.350964,0.150505,0.996875,5.50157
A* Oracle,20,Medium,0,0.0306446,0,1,5.63669
A* Oracle,20,Medium,1,0.0306446,0.0327194,1,5.63669
A* Oracle,20,Medium,2,0.0306446,0.0324127,1,5.64388
A* Oracle,20,Medium,3,0.0306446,0.0308738,1,5.65468
A* Oracle,20,Medium,4,0.0306446,0.0316139,1,5.56115
A* Oracle,20,Medium,5,0.0306446,0.0316256,1,5.64029
A* Oracle,20,Medium,10,0.0306446,0.0372082,0.996416,5.58993
A* Static,20,Medium,0,0.0335708,0,1,5.63669
A* Static,20,Medium,1,0.0335708,5.9317e-05,0.996403,5.65343
A* Static,20,Medium,2,0.0335708,5.7965e-05,0.935252,5.40385
A* Static,20,Medium,3,0.0335708,5.7369e-05,0.971223,5.65926
A* Static,20,Medium,4,0.0335708,5.9757e-05,0.960432,5.67416
A* Static,20,Medium,5,0.0335708,5.7611e-05,0.960432,5.49813
A* Static,20,Medium,10,0.0335708,5.6805e-05,0.799283,5.12556
Local,20,Medium,0,0.365351,0,1,5.7518
Local,20,Medium,1,0.365351,0.179988,1,5.64388
Local,20,Medium,2,0.365351,0.243613,1,5.64029
Local,20,Medium,3,0.365351,0.168148,1,5.64748
Local,20,Medium,4,0.365351,0.19166,1,5.60072
Local,20,Medium,5,0.365351,0.131,1,5.64029
Local,20,Medium,10,0.365351,0.177073,0.996416,5.6223
Hierarchy,20,Medium,0,0.347949,0,1,5.79856
Hierarchy,20,Medium,1,0.347949,0.185582,1,5.64029
Hierarchy,20,Medium,2,0.347949,0.141882,1,5.64388
Hierarchy,20,Medium,3,0.347949,0.120741,1,5.64748
Hierarchy,20,Medium,4,0.347949,0.153133,1,5.58993
Hierarchy,20,Medium,5,0.347949,0.144273,1,5.64029
Hierarchy,20,Medium,10,0.347949,0.175652,0.996416,5.59353
A* Oracle,20,Hard,0,0.0191563,0,0.941176,6.85096
A* Oracle,20,Hard,1,0.0191563,0.0188577,0.941176,6.82212
A* Oracle,20,Hard,2,0.0191563,0.0191475,0.941176,6.85096
A* Oracle,20,Hard,3,0.0191563,0.0190562,0.941176,6.6875
A* Oracle,20,Hard,4,0.0191563,0.0194626,0.855204,6.87302
A* Oracle,20,Hard,5,0.0191563,0.0222977,0.959276,6.91038
A* Oracle,20,Hard,10,0.0191563,0.0229054,0.968326,7.08411
A* Static,20,Hard,0,0.0201211,0,0.941176,6.85096
A* Static,20,Hard,1,0.0201211,4.4538e-05,0.932127,6.82039
A* Static,20,Hard,2,0.0201211,4.4424e-05,0.932127,6.8301
A* Static,20,Hard,3,0.0201211,4.4185e-05,0.868778,6.56771
A* Static,20,Hard,4,0.0201211,4.4292e-05,0.769231,6.56471
