Approach,Size,Difficulty,Changes,InitialTime,AdaptTime,SuccessRate,AvgPathLength
Local,50,Hard,5,16.6802,3.27201,0.9825,7.66443
Local,50,Hard,10,16.6802,5.80888,0.9723,7.70431
Local,50,Hard,20,16.6802,9.8478,0.9742,7.60563
Hierarchy,50,Hard,0,22.0127,0,0.9772,7.69065
Hierarchy,50,Hard,1,22.0127,0.771418,0.974,7.62207
Hierarchy,50,Hard,5,22.0127,7.40933,0.9792,7.49479
Hierarchy,50,Hard,10,22.0127,8.58181,0.9791,7.62374
Hierarchy,50,Hard,20,22.0127,14.4178,0.9698,7.53661
A*,100,Easy,0,2.56705,0,1,4.4806
A*,100,Easy,1,2.56705,2.46719,0.9995,4.47244
A*,100,Easy,5,2.56705,2.4676,0.9999,4.47795
A*,100,Easy,10,2.56705,2.46449,0.9995,4.46283
A*,100,Easy,20,2.56705,2.46318,0.9997,4.46404
Local,100,Easy,0,43.6333,0,0.9985,4.61182
Local,100,Easy,1,43.6333,0.214493,0.9981,4.60285
Local,100,Easy,5,43.6333,1.96379,0.999,4.65295
Local,100,Easy,10,43.6333,3.98932,0.998,4.65261
Local,100,Easy,20,43.6333,8.98072,0.9976,4.5818
Hierarchy,100,Easy,0,56.9255,0,0.9996,4.60854
Hierarchy,100,Easy,1,56.9255,0.668994,0.9999,4.61056
Hierarchy,100,Easy,5,56.9255,4.91544,0.9995,4.58879
Hierarchy,100,Easy,10,56.9255,8.84106,0.9998,4.55901
Hierarchy,100,Easy,20,56.9255,17.3115,0.9995,4.58469
A*,100,Medium,0,1.72905,0,0.9995,4.63972
A*,100,Medium,1,1.72905,1.73013,0.9991,4.64448
A*,100,Medium,5,1.72905,1.72594,0.9996,4.65466
A*,100,Medium,10,1.72905,1.73473,0.9985,4.62614
A*,100,Medium,20,1.72905,1.73233,0.9994,4.61857
Local,100,Medium,0,39.3037,0,0.9981,4.83058
Local,100,Medium,1,39.3037,0.380536,0.9989,4.77505
Local,100,Medium,5,39.3037,2.35904,0.9985,4.74832
Local,100,Medium,10,39.3037,4.30409,0.9986,4.77899
Local,100,Medium,20,39.3037,9.55014,0.9989,4.77015
Hierarchy,100,Medium,0,53.3909,0,0.9972,4.73406
Hierarchy,100,Medium,1,53.3909,0.726557,0.9987,4.81536
Hierarchy,100,Medium,5,53.3909,3.73667,0.999,4.72863
