Approach,Size,Difficulty,InitialTime,AdaptTimePerStep,AvgSuccessRate,AvgPathLength
A* Static,300,Medium,7.93013,0,0.974463,4.76062
A* Oracle,300,Medium,7.9345,8.1107,0.999927,4.80094
onlyTrainLeafNodes,300,Medium,335.016,1.34477,0.998421,6.22455
singleAgent,300,Medium,348.423,0.228892,0.997836,6.4561
fedAsynQ_EqAvg,300,Medium,142.364,0.0674252,0.998187,5.94755
fedAsynQ_ImAvg,300,Medium,147.418,0.0804951,0.998346,5.97731
A* Static,300,Hard,8.86205,0,0.96247,6.96646
A* Oracle,300,Hard,8.87537,8.9683,0.998803,7.03609
onlyTrainLeafNodes,300,Hard,521.8,1.72154,0.973041,8.72467
singleAgent,300,Hard,584.75,0.545651,0.992076,9.33814
fedAsynQ_EqAvg,300,Hard,190.325,0.145836,0.992572,8.63967
fedAsynQ_ImAvg,300,Hard,198.041,0.179907,0.993845,8.77826
